10,6.8,75
15,9.8,78
20,12.2,79
25,14,81
30,15.5,80
35,17.5,82
40,18.7,82
45,19.7,82
50,20.8,82
55,21.5,82
60,22.2,81
70,23.6,81
80,24.8,81
90,25.8,79
100,26.7,77
150,30.3,74
200,32.7,69
300,35.5,59
400,37.3,52
500,38.4,43
700,39.2,33
900,40,27
1.1e3,40.5,20
1.3e3,40.8,16
1.5e3,40.6,12
1.7e3,40.7,10
1.9e3,40.8,7
2.1e3,40.9,5
2.5e3,41,0
3e3,41,-4
3.5e3,41,-8
4e3,41,-12
5e3,41,-17
6e3,40.8,-23
7e3,40.6,-28
8e3,40.4,-32
10e3,39.9,-41
12e3,39.1,-50
14e3,38.5,-55
16e3,37.9,-62
18e3,37.2,-67
20e3,36.5,-70
25e3,35.3,-83
30e3,32.8,-92
35e3,31.9,-101
40e3,30.6,-105
45e3,28.8,-112
50e3,27.7,-117
100e3,18.3,-148
150e3,11.5,-164
200e3,6.2,-169
300e3,-0.7,-177
500e3,-15.2,178
700e3,-19.2,166



